,0,1,2,3,4,5,6,7,8,9,10
0,100,0,104363,104908,545,104487,421,415,0,104064,0
1,200,0,76835,77053,218,76859,194,406,0,76445,0
2,300,0,87450,87660,210,87460,200,590,0,86862,0
3,400,0,107776,108065,289,107783,282,782,0,106993,0
4,500,0,135230,135632,402,135243,389,1012,0,134223,0
5,600,0,167243,167751,508,167245,506,1156,0,166081,0
6,700,0,201315,201966,651,201317,649,1343,0,199966,0
7,800,0,236629,237394,765,236629,765,1492,0,235129,0
8,900,0,272158,273117,959,272160,957,1607,0,270545,0
9,1000,0,308112,309246,1134,308118,1128,1777,0,306333,0
10,1100,73,3416670,3429386,12789,3416699,12760,18989,63,3397639,0
11,1200,228,3754848,3768813,14193,3754918,14123,20070,162,3734678,0
12,1300,588,3580314,3593601,13875,3580527,13662,18948,325,3642081,0
13,1400,1580,4437507,4454055,18128,4438184,17451,22493,694,4414989,0
14,1500,3101,4746807,4763956,20250,4748368,18689,23158,1094,4724108,0
15,1600,5686,5051390,5069390,23686,5054516,20560,24218,1576,5028714,0
16,1700,9144,5350052,5367976,27068,5355414,21706,25306,2105,5327995,0
17,1800,14327,5642866,5660612,32073,5651584,23355,26256,2785,5622535,0
18,1900,21159,5923380,5940104,37883,5936730,24533,27094,3491,5906137,0
19,2000,2706,617520,618864,4050,619019,2551,2750,415,615846,0
20,3000,21208,808565,804505,17148,821995,3718,3486,1191,817310,0
21,4000,55942,907310,890449,39081,941902,4489,4083,2078,935733,0
22,5000,98728,956253,920420,62895,1014193,4955,4297,2763,1007125,0
23,6000,144562,993267,934067,85362,1073337,5292,4546,3434,1065349,0
24,7000,188485,1018678,934039,103846,1116936,5588,4865,3812,1108251,0
25,8000,233106,1039326,927589,121369,1154843,5852,5035,4565,1145235,0
26,9000,274766,1054476,916050,136340,1184867,5949,5096,4824,1174939,0
27,10000,315522,1068590,901901,148833,1211422,6001,5295,5260,1200859,0
28,20000,606775,1135544,730065,201296,1330566,6274,6369,8064,1316125,0
29,30000,771677,1185885,615673,201465,1381328,6022,7066,9715,1364539,0
30,40000,883788,1231444,539362,191706,1416653,6497,7527,11069,1398049,0
31,50000,964452,1267545,485062,181969,1442932,6582,7752,11721,1423451,0
32,60000,1025027,1299215,445380,171192,1463862,6545,8072,12379,1443403,0
33,70000,1076608,1327610,413559,162557,1483556,6611,8343,12942,1462263,0
34,80000,1118191,1351994,388050,154247,1499659,6582,8466,13323,1477862,0
35,90000,1155807,1375183,366536,147160,1515730,6613,8611,13920,1493191,0
36,100000,1185776,1393349,348781,141208,1528006,6551,8905,14015,1505078,0
37,200000,1359747,1516496,258673,101924,1611832,6588,10053,16036,1585735,0
38,300000,1439322,1577872,221298,82748,1654149,6471,10674,16940,1626527,0
39,400000,1489048,1617717,199977,71308,1682713,6312,10725,17716,1654264,0
40,500000,1523735,1647194,186852,63393,1704183,6404,10985,17751,1675439,0
41,600000,1543894,1663736,177397,57555,1715128,6163,10822,18167,1686131,0
42,700000,1566095,1683392,171071,53774,1730903,6263,11132,18359,1701405,0
43,800000,1580642,1695648,165116,50110,1739711,6047,10879,18346,1710478,0
44,900000,1590954,1705631,161363,46686,1746305,6012,11031,18600,1716666,0
45,1000000,1601551,1714125,157484,44910,1753025,6010,10836,18795,1723386,0
